Category,ID,Text,Instrument,Trait,Response Type,Tier,Options,Reversed
"personality","STD_OPENNESS_1","When I discover a hidden path while walking, I usually take it to see where it leads","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_2","I get excited when someone recommends music from a genre I've never explored","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_3","I prefer restaurants where I can order the same dish I love every time","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_OPENNESS_4","Abstract art often speaks to me in ways I can't quite explain","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_5","I enjoy conversations that challenge my fundamental beliefs","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_6","When traveling, I prefer having every detail planned in advance","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_OPENNESS_7","I often find myself lost in Wikipedia rabbit holes for hours","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_8","I'd rather watch a documentary about quantum physics than a romantic comedy","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_1","My workspace naturally stays organized without much effort","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_2","I often start projects with enthusiasm but struggle to finish them","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_CONSCIENTIOUSNESS_3","I arrive at least 10 minutes early to appointments","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_4","My to-do lists have sub-lists with their own sub-lists","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_5","I can work effectively even when my environment is chaotic","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_CONSCIENTIOUSNESS_6","I review my work multiple times before considering it complete","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_7","Deadlines motivate me - I work best under pressure","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_CONSCIENTIOUSNESS_8","I keep track of my expenses down to the penny","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_1","After a long week, a crowded party sounds perfect","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_2","I need alone time to recharge after social events","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_EXTRAVERSION_3","I naturally take charge when working in groups","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_4","Small talk with strangers energizes me","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_5","I prefer texting over phone calls","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_EXTRAVERSION_6","Being the center of attention feels natural to me","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_7","I do my best thinking when talking ideas through with others","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_8","I'd choose a quiet coffee shop over a bustling cafÃ©","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_AGREEABLENESS_1","I instinctively trust people until they prove otherwise","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_AGREEABLENESS_2","I find it satisfying when someone who wronged me faces consequences","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_AGREEABLENESS_3","I often go out of my way to help strangers","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_AGREEABLENESS_4","In negotiations, I focus on what I can gain rather than mutual benefit","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_AGREEABLENESS_5","Seeing others succeed genuinely makes me happy","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_AGREEABLENESS_6","I believe most people would take advantage if given the chance","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_AGREEABLENESS_7","I tend to forgive easily and rarely hold grudges","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_AGREEABLENESS_8","I enjoy debates where I can prove my point","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_NEUROTICISM_1","Minor setbacks can affect my mood for the entire day","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_NEUROTICISM_2","I remain calm even when everything seems to go wrong","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_NEUROTICISM_3","I often replay embarrassing moments from years ago","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_NEUROTICISM_4","Uncertainty excites me rather than worries me","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_NEUROTICISM_5","I check my sent emails multiple times to ensure they were okay","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_NEUROTICISM_6","I sleep soundly even before important events","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_NEUROTICISM_7","Small changes in routine make me anxious","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_NEUROTICISM_8","I can laugh at myself when I make mistakes","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_BEHAVIORAL_1","I keep my phone on silent to avoid distractions","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_BEHAVIORAL_2","I've stayed up all night pursuing a fascinating topic","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_BEHAVIORAL_3","I prefer working alone on important projects","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_BEHAVIORAL_4","I double-check locks and appliances before leaving home","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_BEHAVIORAL_5","I share my food without being asked","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_BEHAVIORAL_6","I color-code my calendar and notes","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_BEHAVIORAL_7","I enjoy movies that leave the ending open to interpretation","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_BEHAVIORAL_8","I feel drained after video calls, even with friends","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_SITUATIONAL_1","If I won the lottery, I'd invest most of it rather than spend it","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_SITUATIONAL_2","At a museum, I read every placard thoroughly","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_SITUATIONAL_3","In group photos, I naturally position myself in the center","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_SITUATIONAL_4","When someone cuts in line, I speak up immediately","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_SITUATIONAL_5","Before a trip, I research everything that could go wrong","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_SITUATIONAL_6","I notice when picture frames are slightly crooked","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_SITUATIONAL_7","I'd rather explore a new city without a map or guide","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_SITUATIONAL_8","At parties, I'm usually the last to leave","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_PREFERENCES_1","I prefer fiction that explores impossible worlds over realistic stories","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_PREFERENCES_2","My ideal vacation involves a detailed itinerary","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_PREFERENCES_3","I'd choose dinner with one close friend over a party with twenty acquaintances","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_PREFERENCES_4","I enjoy competitive activities more than cooperative ones","BFI-2-Extended","agreeableness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_PREFERENCES_5","I prefer predictable routines over spontaneous adventures","BFI-2-Extended","neuroticism","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"lateral","O1","You discover a door in your home you've never noticed before. What do you do?","LATERAL_THINKING","openness","multiple-choice","comprehensive","Immediately open it to explore | Research the house's history first | Ask others if they've seen it | Leave it alone - it was hidden for a reason | Test if it's real or imagined","false"
"lateral","O2","If colors had personalities, which would be the leader?","LATERAL_THINKING","openness","multiple-choice","comprehensive","Red - bold and commanding | Blue - calm and strategic | Gold - prestigious and traditional | Purple - mysterious and wise | Green - balanced and growth-oriented","false"
"lateral","O3","You can speak to one type of animal for a day. Which provides the most valuable insights?","LATERAL_THINKING","openness","multiple-choice","comprehensive","Birds - they see everything from above | Cats - they know secrets of independence | Dogs - they understand loyalty | Ants - they've mastered cooperation | Dolphins - they play while being intelligent","false"
"lateral","C1","You're given a magic notebook that makes written plans happen. What's your first concern?","LATERAL_THINKING","conscientiousness","multiple-choice","comprehensive","My handwriting might cause misinterpretations | I need to plan the perfect first entry | What if I change my mind later? | Testing with something small first | Whether I deserve this power","false"
"lateral","C2","Your life is a video game. What's your biggest achievement?","LATERAL_THINKING","conscientiousness","multiple-choice","comprehensive","100% completion rate | Speedrun record holder | Most creative solutions | Helping most other players | Finding all easter eggs","false"
"lateral","C3","You must organize a library where books arrange themselves by...","LATERAL_THINKING","conscientiousness","multiple-choice","comprehensive","How much they've changed someone's life | The emotions they evoke | Their hidden connections to each other | The questions they answer | The worlds they create","false"
"lateral","E1","You're a battery. What charges you most efficiently?","LATERAL_THINKING","extraversion","multiple-choice","comprehensive","Being plugged into a group celebration | Solar power from quiet contemplation | Quick bursts from brief interactions | Slow steady charge from one deep connection | Wireless charging from being near others","false"
"lateral","E2","In a world where thoughts are visible as colors above heads, you prefer...","LATERAL_THINKING","extraversion","multiple-choice","comprehensive","Vibrant rainbow crowds - so much to see | Subtle pastels - gentle and non-intrusive | Bold primaries - clear and direct | Invisible option - privacy matters | Selective visibility - control who sees","false"
"lateral","E3","You're designing a personal workspace. The walls are...","LATERAL_THINKING","extraversion","multiple-choice","comprehensive","Glass - see and be seen | One-way mirrors - observe but private | Convertible - walls that appear/disappear | Covered in interaction points | Soundproof but with windows","false"
"lateral","A1","You find a wallet with $1000. The ID shows someone wealthy. Your first thought?","LATERAL_THINKING","agreeableness","multiple-choice","comprehensive","Return it immediately - it's theirs | Donate the cash, return the wallet | Check if there's a reward first | They won't miss it as much as I need it | Post online to find them publicly","false"
"lateral","A2","In a game where you can only win if others lose, you...","LATERAL_THINKING","agreeableness","multiple-choice","comprehensive","Find a way for everyone to win instead | Win efficiently to minimize their loss | Play your best - that's the game | Let others win sometimes | Refuse to play","false"
"lateral","A3","You can read emotions as weather patterns around people. You focus on...","LATERAL_THINKING","agreeableness","multiple-choice","comprehensive","Storm warnings to offer help | Sunny people to enjoy their energy | Your own forecast first | Overall climate of the room | Interesting unusual patterns","false"
"lateral","N1","Your emotions are playlist. What's on repeat most often?","LATERAL_THINKING","neuroticism","multiple-choice","comprehensive","Carefully curated mix - balanced | Whatever's trending - goes with flow | Same comfort songs - predictable | Wildly varies - emotional DJ | Trying to find the off button","false"
"lateral","N2","You're sailing a boat. A storm approaches. Your instinct?","LATERAL_THINKING","neuroticism","multiple-choice","comprehensive","Sail straight through - fastest route | Find shelter immediately | Enjoy the thrill of the challenge | Calculate optimal path around it | Prepare for worst while hoping for best","false"
"lateral","N3","Your mind is a house. The basement contains...","LATERAL_THINKING","neuroticism","multiple-choice","comprehensive","Organized archive of experiences | Things I'm not ready to sort yet | I don't go down there | Hidden treasures and old fears | Workshop where I process things","false"
"lateral","M1","You wake up with the ability to freeze time for everyone but you. First hour?","LATERAL_THINKING","mixed","multiple-choice","comprehensive","Fix things people are struggling with | Explore places I couldn't normally | Catch up on everything I'm behind on | Study frozen moments like art | Plan how to use this responsibly","false"
"lateral","M2","You're writing your autobiography but each chapter must be a different genre. Chapter 1 is...","LATERAL_THINKING","mixed","multiple-choice","comprehensive","Mystery - understanding myself | Adventure - all the risks I took | Comedy - laughing at my mistakes | Drama - the relationships that shaped me | Science fiction - who I'm becoming","false"
"lateral","M3","You discover your reflection sometimes does things differently than you. This means...","LATERAL_THINKING","mixed","multiple-choice","comprehensive","I'm seeing my potential self | My subconscious is communicating | Parallel universe crossing over | I need to pay attention to what I'm suppressing | Time to experiment with the mirror","false"
"lateral","M4","In dreams, you always return to the same mysterious place. It's...","LATERAL_THINKING","mixed","multiple-choice","comprehensive","A library with books I've never read | A garden where each plant is a memory | An empty theater waiting for performance | A workshop full of unfinished projects | A crossroads with infinite paths","false"
"lateral","P1","You're tasked with designing a new emotion. It feels like...","LATERAL_THINKING","mixed","multiple-choice","comprehensive","The moment before a first kiss | Solving a puzzle after hours of trying | Finding something you didn't know you lost | The silence after perfect music ends | Watching someone become who they're meant to be","false"
"lateral","P2","If your personality was a recipe, the main ingredient would be...","LATERAL_THINKING","mixed","multiple-choice","comprehensive","Curiosity with a dash of chaos | Reliability slow-cooked to perfection | Enthusiasm with surprise spices | Carefully measured empathy | Adaptability with seasonal variations","false"
"lateral","P3","You're an architect of realities. Your signature style includes...","LATERAL_THINKING","mixed","multiple-choice","comprehensive","Hidden doors to everywhere | Rooms that adapt to occupants' needs | Windows showing different times | Spaces that connect distant people | Structures that grow and evolve","false"
"neurodiversity","ASRS_1","How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?","ASRS-5","adhd","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"neurodiversity","ASRS_2","How often do you leave your seat in meetings or other situations in which you are expected to remain seated?","ASRS-5","adhd","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"neurodiversity","ASRS_3","How often do you have difficulty unwinding and relaxing when you have time to yourself?","ASRS-5","adhd","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"neurodiversity","ASRS_4","How often do you find yourself talking too much when you are in social situations?","ASRS-5","adhd","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"neurodiversity","ASRS_5","How often do you find yourself finishing the sentences of the people you are talking to, before they can finish them themselves?","ASRS-5","adhd","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"neurodiversity","AQ_1","I often notice small sounds when others do not","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","false"
"neurodiversity","AQ_2","I usually concentrate more on the whole picture, rather than the small details","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","true"
"neurodiversity","AQ_3","I find it easy to do more than one thing at once","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","true"
"neurodiversity","AQ_4","If there is an interruption, I can switch back to what I was doing very quickly","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","true"
"neurodiversity","AQ_5","I find it easy to ""read between the lines"" when someone is talking to me","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","true"
"neurodiversity","AQ_6","I know how to tell if someone listening to me is getting bored","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","true"
"neurodiversity","AQ_7","When I'm reading a story, I find it difficult to work out the characters' intentions","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","false"
"neurodiversity","AQ_8","I like to collect information about categories of things","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","false"
"neurodiversity","AQ_9","I find it easy to work out what someone is thinking or feeling just by looking at their face","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","true"
"neurodiversity","AQ_10","I find it difficult to work out people's intentions","AQ-10","autism","likert","core","Definitely Disagree | Slightly Disagree | Slightly Agree | Definitely Agree","false"
"neurodiversity","PHQ_1","Over the last 2 weeks, how often have you been bothered by feeling down, depressed, or hopeless?","PHQ-2","depression","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"neurodiversity","PHQ_2","Over the last 2 weeks, how often have you been bothered by little interest or pleasure in doing things?","PHQ-2","depression","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"neurodiversity","GAD_1","Over the last 2 weeks, how often have you been bothered by feeling nervous, anxious, or on edge?","GAD-2","anxiety","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"neurodiversity","GAD_2","Over the last 2 weeks, how often have you been bothered by not being able to stop or control worrying?","GAD-2","anxiety","likert","core","Never | Rarely | Sometimes | Often | Very Often","false"
"cognitive","GAME_1","Complete the pattern: ðŸ”µ ðŸ”´ ðŸ”µ ðŸ”´ ?","PATTERN_RECOGNITION","","multiple-choice","comprehensive","ðŸ”µ | ðŸ”´ | ðŸŸ¢ | ðŸŸ¡","false"
"cognitive","GAME_2","Quick! Type the first word that comes to mind when you see: OCEAN","WORD_ASSOCIATION","","word-association","comprehensive","","false"
